ID;LAT;LNG;BANCO;RED;DOM_ORIG;DOM_GEO;TERMINALES;WEB;ACTUALIZAC;DOM_NORMA;BARRIO;COMUNA;CODIGO_POSTAL;CODIGO_POSTAL_ARGENTINO
710;-34,583721026969805;-58,466092735749186;BANCO DE LA CIUDAD DE BUENOS AIRES;LINK;TRONADOR 801;801 TRONADOR;0;HTTP://WWW.REDLINK.COM.AR/;MAY-13;TRONADOR 801;VILLA ORTUZAR;COMUNA 15;1427;C1427CRQ
711;-34,581269603331968;-58,474310206328774;BANCO DE LA CIUDAD DE BUENOS AIRES;LINK;TRIUNVIRATO AV. Y DE LOS INCAS AV.;TRIUNVIRATO AV. & DE LOS INCAS AV.;0;HTTP://WWW.REDLINK.COM.AR/;MAY-13;TRIUNVIRATO AV. Y DE LOS INCAS AV.;PARQUE CHAS;COMUNA 15;;
712;-34,638584533453567;-58,50805763472956;BANCO DE LA NACION ARGENTINA;LINK;RIVADAVIA AV. 10249;10249 RIVADAVIA AV.;0;HTTP://WWW.REDLINK.COM.AR/;MAY-13;RIVADAVIA AV. 10249;VILLA LURO;COMUNA 10;1408;C1408AAC
713;-34,678350050230875;-58,474209679536123;BANCO DE LA PROVINCIA DE BUENOS AIRES;LINK;MURGUIONDO 4349;4349 MURGUIONDO;0;HTTP://WWW.REDLINK.COM.AR/;MAY-13;MURGUIONDO 4349;VILLA LUGANO;COMUNA 8;1439;C1439FTE
714;-34,684839483352306;-58,455182822682474;BANCO DE LA CIUDAD DE BUENOS AIRES;LINK;ROCA, CNEL. AV. 5252;5252 ROCA, CNEL. AV.;0;HTTP://WWW.REDLINK.COM.AR/;MAY-13;ROCA, CNEL. AV. 5252;VILLA RIACHUELO;COMUNA 8;1439;C1439DVN
715;-34,676469798401271;-58,475989828961545;BANCO DE LA NACION ARGENTINA;LINK;MURGUIONDO 4130;4130 MURGUIONDO;0;HTTP://WWW.REDLINK.COM.AR/;MAY-13;MURGUIONDO 4130;VILLA LUGANO;COMUNA 8;1439;C1439FTB
716;-34,69629368538974;-58,468599617213094;BANCO DE LA NACION ARGENTINA;LINK;ROCA, CNEL. AV. 6787;6787 ROCA, CNEL. AV.;0;HTTP://WWW.REDLINK.COM.AR/;MAY-13;ROCA, CNEL. AV. 6787;VILLA RIACHUELO;COMUNA 8;1439;C1439DWE
717;-34,657113099056723;-58,477641716312526;BANCO DE LA PROVINCIA DE BUENOS AIRES;LINK;PERON, EVA AV. 4834;4834 PERON, EVA AV.;0;HTTP://WWW.REDLINK.COM.AR/;MAY-13;PERON, EVA AV. 4834;PARQUE AVELLANEDA;COMUNA 9;1407;C1407HUZ
718;-34,685651146670523;-58,462681017027244;BANCO DE LA CIUDAD DE BUENOS AIRES;LINK;SOLDADO DE LA FRONTERA AV. 5290;5290 SOLDADO DE LA FRONTERA AV.;0;HTTP://WWW.REDLINK.COM.AR/;MAY-13;SOLDADO DE LA FRONTERA AV. 5290;VILLA LUGANO;COMUNA 8;1439;C1439FPH
719;-34,602344678224448;-58,464956896935227;CABAL COOP. LTDA.;LINK;ALVAREZ, DONATO, TTE. GRAL. AV. 2137;2137 ALVAREZ, DONATO, TTE. GRAL. AV.;0;HTTP://WWW.REDLINK.COM.AR/;MAY-13;ALVAREZ, DONATO, TTE. GRAL. AV. 2137;PATERNAL;COMUNA 15;1416;C1416BTK
720;-34,591878298469567;-58,509924341124673;BANCO DE LA PROVINCIA DE BUENOS AIRES;LINK;SAN MARTIN AV. 6827;6827 SAN MARTIN AV.;0;HTTP://WWW.REDLINK.COM.AR/;MAY-13;SAN MARTIN AV. 6827;VILLA DEVOTO;COMUNA 11;1419;C1419ICF
